ID,Director_id,DVDList_id
115,0000008,105744
116,0000008,111280
117,0000008,113007
118,0000008,114919
119,0000008,118483
120,0000008,125422
121,0000008,129385
122,0000008,130307
123,0000008,135771
124,0000008,136973
125,0000008,136970
126,0000008,137764
127,0000008,137770
128,0000008,140728
129,0000008,143936
130,0000008,148431
131,0000008,153031
132,0000008,154975
133,0000008,157679
134,0000008,157691
135,0000008,158115
136,0000008,160132
137,0000008,163158
138,0000008,164325
139,0000008,167129
140,0000008,167162
141,0000008,168269
142,0000008,169758
143,0000008,170723
144,0000008,170808
145,0000008,172674
146,0000008,176187
147,0000008,178904
148,0000008,179159
149,0000008,179576
150,0000008,179813
151,0000008,182572
152,0000008,184598
153,0000008,184587
154,0000008,189009
155,0000008,195058
156,0000008,200271
157,0000008,206915
158,0000008,214746
159,0000008,220396
160,0000008,225075
161,0000008,228360
162,0000008,141323
163,0000008,162223
164,0000008,214452
165,0000008,214477
166,0000008,214471
167,0000009,36772
168,0000009,39154
169,0000009,39516
170,0000009,39532
171,0000009,49045
172,0000009,49046
173,0000009,51324
174,0000009,51325
175,0000009,53816
176,0000010,39601
177,0000011,21664
178,0000011,134619
179,0000011,104144
180,0000012,18592
181,0000013,28389
182,0000013,37385
183,0000013,39765
184,0000013,40888
185,0000013,40981
186,0000013,41018
187,0000013,41696
188,0000013,43324
189,0000013,50090
190,0000013,50643
191,0000013,52088
192,0000013,52414
193,0000013,54668
194,0000013,58534
195,0000013,58617
196,0000013,58764
197,0000013,87661
198,0000013,110881
199,0000013,110890
200,0000013,110895
201,0000013,124530
202,0000013,127787
203,0000013,155126
204,0000013,194672
205,0000013,44134
206,0000013,65283
207,0000013,65286
208,0000013,68746
209,0000013,80598
210,0000013,80656
211,0000013,82054
212,0000013,82081
213,0000013,82201
214,0000013,85377
215,0000013,85393
216,0000013,93729
217,0000013,94024
218,0000013,94056
219,0000013,130341
220,0000013,18676
221,0000013,38917
222,0000013,50290
223,0000013,58691
224,0000013,58695
225,0000013,58771
226,0000013,68681
227,0000013,82117
228,0000013,85364
229,0000013,93681
230,0000013,148302
231,0000013,169826
232,0000013,195134
233,0000013,55731
234,0000013,83584
235,0000013,98909
236,0000013,114722
237,0000013,158741
238,0000013,206660
239,0000014,8069
240,0000014,56929
241,0000014,70880
242,0000014,77295
243,0000014,103044
244,0000014,104697
245,0000014,110476
246,0000014,123129
247,0000014,137345
248,0000014,137363
249,0000014,17857
250,0000014,32235
251,0000014,149498
252,0000014,149551
253,0000014,16445
254,0000014,26890
255,0000014,176904
256,0000014,18585
257,0000014,203116
258,0000014,209691
